_date_,xgap_cbo,rff,pcom,pigdp
1966-10-01,4.389384146,5.528688524590164,105.78500000000002,3.2588634634095112
1967-01-01,4.170880232,4.7661290322580648,104.29833333333334,1.665705125424566
1967-04-01,3.078443445,3.9732812499999992,99.519999999999984,2.3938384255924208
1967-07-01,2.883876354,3.8857142857142848,97.67,3.5868532889191228
1967-10-01,2.477258762,4.1637704918032776,98.636666666666656,4.3881914878333816
1968-01-01,3.384480078,4.7698387096774184,99.395,4.3405728533198128
1968-04-01,3.949312993,5.9720634920634904,96.316666666666656,4.4700620095404984
1968-07-01,3.600880668,5.9454687499999984,94.686666666666672,3.8108041190303872
1968-10-01,2.865735721,5.8491935483870952,99.074999999999984,5.5415140307866648
1969-01-01,3.378184518,6.527777777777776,105.13333333333332,3.9786424275838768
1969-04-01,2.653565064,8.1381249999999984,110.06166666666666,5.2440355671915736
1969-07-01,2.356349844,8.83609375,114.505,5.6528461450932712
1969-10-01,0.944258189,8.8013114754098368,115.64833333333336,4.9812818913213872
1970-01-01,-0.064303415,8.5206451612903216,119.02666666666668,5.4652042498377176
1970-04-01,-0.728520662,7.828,116.85666666666666,5.7298385343425904
1970-07-01,-0.59609197300000008,6.6844615384615352,111.36166666666668,3.2687203665110692
1970-10-01,-2.420765395,5.535396825396824,108.24666666666666,5.1944963453214752
1971-01-01,-0.570093418,3.887049180327868,106.94333333333334,6.0113721685196352
1971-04-01,-0.872226389,4.5765624999999984,108.29333333333334,5.3359533532619352
1971-07-01,-0.917648079,5.4660937499999976,106.09666666666668,4.0119941733861352
1971-10-01,-1.536081619,4.6891935483870952,107.01,3.3035672928610544
1972-01-01,-0.558472046,3.5743749999999988,113.63833333333334,6.36177982852022
1972-04-01,0.902398992,4.3046874999999992,122.50833333333332,2.4439251659552852
1972-07-01,1.085272276,4.7277777777777768,124.365,3.602078780006224
1972-10-01,2.006659162,5.1511666666666664,131.49666666666666,4.5153677833901904
1973-01-01,3.727733473,6.5099999999999992,147.37333333333334,5.0459892354842488
1973-04-01,3.997015738,7.8112499999999968,163.71,6.5612429537040384
1973-07-01,2.579825291,10.52333333333333,184.75,7.577802489197616
1973-10-01,2.6609052219999996,9.9782258064516112,196.48333333333336,6.869723087653412
1974-01-01,0.897355342,9.325806451612904,228.38833333333332,8.0156379006838912
1974-04-01,0.264958117,11.1803125,230.68666666666664,8.787649873890224
1974-07-01,-1.518602446,12.07609375,222.17333333333332,12.13934102682757
1974-10-01,-2.70986835,9.3112903225806448,194.75166666666668,11.9626506249972
1975-01-01,-4.6661395600000008,6.2967741935483856,181.20833333333336,8.9419170169421136
1975-04-01,-4.739185298,5.42609375,181.22333333333336,5.7504419716149616
1975-07-01,-3.86013859,6.1432812500000008,178.49666666666666,7.0130497699993912
1975-10-01,-3.315131881,5.4032258064516128,180.78,6.6255275171785744
1976-01-01,-1.886947663,4.8130158730158744,187.83666666666668,4.342935713281548
1976-04-01,-1.910268202,5.1935937499999992,202.925,3.980132341267328
1976-07-01,-2.125469265,5.28390625,209.95166666666668,5.0694992527988704
1976-10-01,-2.173781152,4.8653225806451632,201.95,6.7454770087811864
1977-01-01,-1.796284252,4.6771428571428568,216.45,6.3971696087184784
1977-04-01,-0.69866871,5.15765625,215.60333333333336,6.2835342430947352
1977-07-01,0.263505528,5.836666666666664,203.32666666666668,5.4724984873137928
1977-10-01,-0.574528021,6.514590163934424,206.835,6.6303355927015416
1978-01-01,-1.1039307249999998,6.7807936507936496,219.79166666666664,6.4975289760569776
1978-04-01,1.837857856,7.2975384615384624,219.97166666666668,7.897567057415776
1978-07-01,1.967537491,8.1042857142857136,232.12666666666668,6.995933477785776
1978-10-01,2.429464705,9.5725806451612912,252.18499999999996,7.8333407256595328
1979-01-01,1.686606545,10.07079365079365,273.44166666666668,7.3967032096023296
1979-04-01,0.909163964,10.18476923076923,294.06333333333332,9.549855339049352
1979-07-01,0.822239558,10.92174603174603,297.58499999999996,8.2661973189312128
1979-10-01,0.303961123,13.57467741935484,306.945,7.2285239415077024
1980-01-01,-0.069006754,14.98666666666666,318.09000000000004,8.6505386303974416
1980-04-01,-2.71496274,12.6790625,282.64166666666664,9.3835573215038432
1980-07-01,-3.33316302,9.7600000000000032,289.35999999999996,8.8165962984938064
1980-10-01,-2.0583415610000004,15.84629032258065,301.36833333333332,10.47271185477179
1981-01-01,-0.699363082,16.468709677419358,288.53166666666676,10.46329542279789
1981-04-01,-2.066825931,17.7265625,288.41166666666664,7.4422070901537296
1981-07-01,-1.562020723,17.71876923076923,286.09166666666664,7.7016459799430944
1981-10-01,-3.3230825249999996,13.62777777777778,270.97333333333332,6.5538627044356088
1982-01-01,-5.520803373,14.26419354838709,259.315,5.6912988842315224
1982-04-01,-5.79592052,14.53734375,242.09666666666668,5.2773316670755576
1982-07-01,-6.863683776,10.97015625,237.34166666666668,5.512388362497056
1982-10-01,-7.539921662,9.2989062500000032,230.92666666666664,4.0313262722794008
1983-01-01,-7.031673632,8.6609523809523792,240.19166666666668,3.182427976717506
1983-04-01,-5.651123547,8.8287499999999952,251.80333333333332,2.954361118015214
1983-07-01,-4.52732428,9.4634375000000048,262.90999999999996,4.2320424217159312
1983-10-01,-3.332428706,9.4422950819672112,278.565,2.976719141708806
1984-01-01,-2.276502769,9.7031746031746048,285.60166666666664,3.9265843277537024
1984-04-01,-1.453803566,10.62515625,288.15666666666668,3.578727717463792
1984-07-01,-1.386096685,11.42031746031746,276.60666666666664,3.595475110704172
1984-10-01,-1.4681041319999998,9.2743548387096768,265.58166666666664,2.7858966455475808
1985-01-01,-1.404664453,8.4656451612903232,253.67833333333332,4.07926501035778
1985-04-01,-1.4244729,7.9584374999999984,251.06000000000004,2.351946433401686
1985-07-01,-0.805659733,7.92515625,239.48166666666664,2.652065156485328
1985-10-01,-0.94048609,8.1701612903225824,235.60166666666664,2.073171794904916
1986-01-01,-0.874411168,7.7877049180327888,231,1.969316178010772
1986-04-01,-1.269899092,6.95796875,221.66666666666664,1.395215056649945
1986-07-01,-1.158843005,6.2232812499999992,220.29333333333332,1.8989575979288632
1986-10-01,-1.4491150450000002,6.412096774193548,242.3605,2.3725727245768268
1987-01-01,-1.525986671,6.1555737704918016,248.893,2.320528625634566
1987-04-01,-1.262988446,6.6582812500000008,267.90500000000004,2.708017738932078
1987-07-01,-1.196472577,6.863230769230768,288.14033333333332,3.0800954216683612
1987-10-01,-0.29362525900000004,6.9108064516129024,293.00783333333332,2.9895505378114252
1988-01-01,-0.559436474,6.6653225806451616,291.575,3.0782220431300188
1988-04-01,-0.037378585,7.1646874999999992,303.08266666666668,3.977571811017988
1988-07-01,-0.230433204,7.9856249999999984,308.41166666666668,4.8645858188724136
1988-10-01,0.31755649800000004,8.4796721311475392,310.401,3.661929009928144
1989-01-01,0.55980873,9.483387096774192,329.678,3.8344644436666192
1989-04-01,0.556670598,9.7298437500000016,331.3035,4.3036201866858192
1989-07-01,0.539739402,9.0804761904761888,326.06316666666664,2.9573574547491428
1989-10-01,-0.007605445,8.64967741935484,313.18866666666668,2.721240602445008
1990-01-01,0.353750489,8.2629032258064512,302.07600000000004,4.3350042399975312
1990-04-01,0.010752825,8.2367187500000016,314.16416666666668,4.4509936245631824
1990-07-01,-0.600937668,8.184126984126984,320.06183333333336,3.443620537548142
1990-10-01,-2.149190445,7.7791935483870976,305.99233333333336,3.0414839175001868
1991-01-01,-3.22330886,6.5247540983606584,295.04666666666668,3.870206968001
1991-04-01,-3.067219671,5.8815624999999992,290.11766666666672,2.8717296972150308
1991-07-01,-3.161202425,5.6795312499999992,276.31350000000004,3.0592509185531468
1991-10-01,-3.401480546,4.850806451612904,270.62816666666664,2.3195607309368432
1992-01-01,-2.821067309,4.0603225806451608,265.54183333333332,1.592561562759798
1992-04-01,-2.34943303,3.8181250000000008,281.32583333333336,2.3802147301761776
1992-07-01,-1.977121364,3.3127692307692312,284.18983333333328,1.914398306677612
